                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4197,                0.69982,                 1.3125,                0.95815,                0.94737,                0.97206,                0.52733,                 1.6099,                0.80021,                 1.6068,             0.00045098,             0.00045098,             0.00045098
                     36,                 1.4309,                0.68441,                 1.2632,                0.98141,                0.92595,                0.97069,                0.53225,                  1.613,                0.87995,                 1.6287,             0.00043594,             0.00043594,             0.00043594
                     37,                 1.4399,                0.73108,                 1.3237,                0.98141,                0.92595,                0.97069,                0.53225,                  1.613,                0.87995,                 1.6287,             0.00041931,             0.00041931,             0.00041931
                     38,                   1.39,                0.70751,                 1.2941,                0.91621,                0.96491,                0.96768,                0.52404,                 1.6261,                 1.0214,                 1.6608,              0.0004011,              0.0004011,              0.0004011
                     39,                 1.3812,                0.64738,                 1.2485,                0.93875,                0.94737,                0.96059,                0.51329,                 1.6432,                 1.1619,                 1.6844,              0.0003813,              0.0003813,              0.0003813
                     40,                 1.4128,                0.66489,                 1.2844,                0.93875,                0.94737,                0.96059,                0.51329,                 1.6432,                 1.1619,                 1.6844,             0.00035992,             0.00035992,             0.00035992
                     41,                 1.3901,                0.65467,                 1.3528,                0.92365,                0.95509,                0.95441,                0.51476,                 1.6321,                 1.0973,                 1.6857,             0.00033696,             0.00033696,             0.00033696
                     42,                 1.4377,                 0.7214,                 1.4991,                 0.9297,                0.96491,                0.95754,                0.52261,                 1.6343,                 1.0222,                   1.68,             0.00031241,             0.00031241,             0.00031241
                     43,                 1.4016,                0.67176,                 1.3502,                 0.9297,                0.96491,                0.95754,                0.52261,                 1.6343,                 1.0222,                   1.68,             0.00028628,             0.00028628,             0.00028628
                     44,                  1.387,                0.68618,                 1.3526,                0.93263,                0.97143,                0.96438,                 0.5082,                 1.6842,                0.96389,                 1.7028,             0.00025856,             0.00025856,             0.00025856
                     45,                 1.4079,                  0.637,                 1.3692,                0.93263,                0.97143,                0.96438,                 0.5082,                 1.6842,                0.96389,                 1.7028,             0.00022926,             0.00022926,             0.00022926
                     46,                 1.4678,                0.65003,                 1.3633,                0.92497,                0.98246,                0.96678,                0.50733,                 1.6755,                0.89001,                 1.6754,             0.00019838,             0.00019838,             0.00019838
                     47,                 1.4083,                0.61205,                 1.3073,                0.92497,                0.98246,                0.96678,                0.50733,                 1.6755,                0.89001,                 1.6754,             0.00016591,             0.00016591,             0.00016591
                     48,                 1.3867,                0.60929,                 1.3507,                0.93954,                0.98246,                0.97356,                0.52629,                 1.6589,                0.82709,                 1.6526,             0.00013186,             0.00013186,             0.00013186
                     49,                 1.3493,                0.58728,                 1.3798,                0.93954,                0.98246,                0.97356,                0.52629,                 1.6589,                0.82709,                 1.6526,             9.6224e-05,             9.6224e-05,             9.6224e-05
                     50,                 1.3943,                0.62357,                 1.4104,                0.94116,                0.98221,                0.97378,                0.52466,                 1.6592,                0.78105,                 1.6454,             5.9004e-05,             5.9004e-05,             5.9004e-05
